STAT105,Regression Regression
PHYS308,Theoretical Astrophysics,PHYS208
ENG101,Composition Composition
BIO404,Microbiology Physiology,BIO304
PSY310,Cognitive Cognition,PSY210
MIS207,Analytics ERP Systems,MIS107
PHYS203,Computational Thermodynamics,PHYS103
ECON101,Principles of Economics
SOC305,Urban Institutions,SOC205
SOC105,Rural Globalization
BIO105,Genetics Anatomy
GEO410,Climatology Geomorphology,GEO310
FREN102,Intermediate Conversation
FREN209,Composition Literature,FREN109
POLS402,American American Politics,POLS302
ENGR304,Dynamics Dynamics,ENGR204
NUR206,Medical-Surgical Clinical Practice,NUR106
HIST209,Ancient Modern History,HIST109
COMM110,Mass Media Mass Media
BUS209,Applied Strategy,BUS109
STAT203,Time Series Time Series,STAT103
COMM208,Journalism Journalism,COMM108
IT307,Web Mobile Development,IT207
ENV204,Resources Impact Assessment,ENV104
PHIL204,Political Philosophy Political Philosophy,PHIL104
CS105,Advanced Software Engineering
ENGR309,Introduction to Engineering,ENGR209
ANTH403,Medical Cultural Studies,ANTH303
PSY109,Cognitive Cognition
PSY103,Social Development
CHEM408,Inorganic Inorganic Chemistry,CHEM308
BUS310,Fundamentals of Marketing,BUS210
MUS208,Performance Performance,MUS108
PHYS408,Experimental Electricity & Magnetism,PHYS308
SPAN408,Advanced Composition,SPAN308
FIN410,Risk Risk Management,FIN310
ANTH408,Archaeology Linguistics,ANTH308
POLS203,Public Policy Political Theory,POLS103
PHYS102,Modern Mechanics
FREN104,Conversation Culture
HIST210,Modern Historiography,HIST110
ECON309,Principles of Economics,ECON209
CHEM309,General Chemistry,CHEM209
FREN210,Culture Advanced Grammar,FREN110
THEA309,Acting Acting,THEA209
ACC105,Forensic Forensic Accounting
COMM205,Public Speaking Public Speaking,COMM105
ENV107,Resources Impact Assessment
FREN308,Literature Translation,FREN208
PHIL210,Aesthetics Aesthetics,PHIL110
ACC402,Taxation Taxation,ACC302
CS203,Topics in Databases,CS103
FIN201,Derivatives Derivatives,FIN101
THEA407,Directing Directing,THEA307
ENV403,Impact Modeling,ENV303
ENGR402,Thermodynamics Thermodynamics,ENGR302,PHYS101
MATH109,Applied Calculus
PSY101,Introduction to Psychology
ENGR105,Materials Materials
ECON203,Public Development,ECON103
NUR103,Pediatric Pharmacology
POLS409,American American Politics,POLS309
ECON308,Development Econometrics,ECON208
ENV410,Impact Modeling,ENV310
PSY406,Introduction to Psychology,PSY306
FREN106,Culture Advanced Grammar
ENGR104,Thermodynamics Thermodynamics
STAT402,Bayesian Bayesian Methods,STAT302
MIS208,ERP Decision Support,MIS108
ENV203,Modeling Resources,ENV103
BUS302,Principles of Business,BUS202
MIS102,Information Systems Analytics
ANTH402,Linguistic Medical Anthropology,ANTH302
SOC401,Cultural Inequality,SOC301
CS208,Applied Algorithms,CS108
ENV401,Conservation Conservation,ENV301
ENG402,Poetry Poetry,ENG302
MATH110,Advanced Discrete Mathematics
BUS102,Fundamentals of Marketing
ENGR103,Dynamics Dynamics
ART104,Sculpture Sculpture
MIS308,Data Project Management,MIS208
SOC408,Cultural Inequality,SOC308
POLS109,Comparative Comparative Politics
FIN205,Corporate Finance,FIN105
ENG307,Nonfiction Nonfiction,ENG207
ART308,Digital Art Digital Art,ART208
BUS307,Strategic Operations,BUS207
CHEM102,Organic Organic Chemistry
ECON206,Micro Microeconomics,ECON106
STAT107,Design of Experiments Experiment Design
ACC401,Auditing Auditing,ACC301
ENG203,Nonfiction Nonfiction,ENG103
PHIL409,Metaphysics Metaphysics,PHIL309
PHIL403,Epistemology Epistemology,PHIL303
CS202,Advanced Software Engineering,CS102
ACC407,Managerial Managerial Accounting,ACC307
FREN206,Intermediate Conversation,FREN106
PHIL201,Metaphysics Metaphysics,PHIL101
IT403,Cloud Web Development,IT303
PHIL307,Aesthetics Aesthetics,PHIL207
POLS205,Introduction to Political Science,POLS105
IT404,Web Mobile Development,IT304
CS401,Principles of Data Structures,CS301,MATH201
ENG201,Poetry Poetry,ENG101
STAT206,Applied Applied Statistics,STAT106
PHIL206,Logic Logic,PHIL106
IT309,Information Information Technology,IT209
BUS207,Advanced Management,BUS107
IT205,Information Information Technology,IT105
BIO202,Genetics Anatomy,BIO102
THEA302,Acting Acting,THEA202
STAT401,Mathematical Mathematical Statistics,STAT301
CS207,Principles of Data Structures,CS107
GEO403,Climatology Geomorphology,GEO303
CS405,Seminar in Operating Systems,CS305,MATH201
IT102,Systems Networking
SPAN307,Culture Advanced Grammar,SPAN207
ART404,Printmaking Printmaking,ART304
MATH207,Advanced Discrete Mathematics,MATH107
GEO405,Remote Sensing Human Geography,GEO305
MUS408,Composition Composition,MUS308
FIN207,Financial Corporate Finance,FIN107
FIN310,Investments Investments,FIN210
BUS303,Fundamentals of Marketing,BUS203
MATH307,Numerical Numerical Methods,MATH207
POLS107,Methods Methods
MIS306,Decision Support Business Intelligence,MIS206
SOC109,Social Social Theory
SOC104,Urban Institutions
ENV202,Impact Modeling,ENV102
GEO303,Human GIS,GEO203
MIS408,Analytics ERP Systems,MIS308
SPAN207,Advanced Composition,SPAN107
MIS107,Data Project Management
COMM209,PR Public Relations,COMM109
CS303,Foundations of Programming,CS203
ECON402,Econometrics International Economics,ECON302
ART309,Art History Art History,ART209
THEA307,Design Design,THEA207
PSY208,Developmental Abnormal Psychology,PSY108
STAT308,Design of Experiments Experiment Design,STAT208
POLS406,Introduction to Political Science,POLS306
PHYS105,Advanced Optics
NUR403,Psychiatric OB/GYN,NUR303
STAT108,Introduction to Statistics
MUS106,Ensemble Ensemble
ENGR410,Materials Materials,ENGR310,PHYS101
POLS204,Methods Methods,POLS104
PHYS110,Experimental Electricity & Magnetism
ENGR307,Fluid Fluid Mechanics,ENGR207
IT410,Cloud Web Development,IT310
SOC201,Urban Institutions,SOC101
NUR106,Pharmacology Psychiatric Care
IT304,Networking Security,IT204
MATH107,Foundations of Number Theory
THEA409,Theatre History Theatre History,THEA309
MIS104,ERP Decision Support
PSY403,Abnormal Neuroscience,PSY303
SOC205,Introduction to Sociology,SOC105
POLS301,Methods Methods,POLS201
SOC208,Urban Institutions,SOC108
GEO404,Geomorphology Remote Sensing,GEO304
POLS105,Political Theory Public Policy
THEA310,Directing Directing,THEA210
ART206,Drawing Drawing,ART106
CHEM308,Materials Materials,CHEM208
SPAN301,Literature Translation,SPAN201
HIST108,World World History
HIST101,World World History
GEO207,GIS Cartography,GEO107
PHIL109,Logic Logic
THEA109,Directing Directing
HIST305,Asian Ancient Civilizations,HIST205
NUR205,Foundations of Nursing,NUR105
CHEM404,Biochemistry Biochemistry,CHEM304
SOC308,Inequality Methods,SOC208
STAT309,Introduction to Statistics,STAT209
FREN406,Elementary French,FREN306
ACC309,Financial Accounting,ACC209
FREN305,Conversation Culture,FREN205
ART204,Digital Art Digital Art,ART104
PHYS304,Experimental Electricity & Magnetism,PHYS204
ACC406,Financial Accounting,ACC306
PSY306,Abnormal Neuroscience,PSY206
ENV109,Sustainability Sustainability
PHYS410,Advanced Optics,PHYS310
